# IOC Export  2026-03-15_14-35-UTC
# 11 Samples  |  Format: sha256  # kategorie | score | familie | typ
#
[SHA256]
d936e32af2f6552c30c61a844ad327920488271125d8c5536eba8fe7ca004ece  # Infostealer | R=89.8 | LummaStealer | exe
5f73556db8cc7167958fea5e12e3ad91e8c3c9ed3ac16a0bfb17a3a2541f76ed  # Infostealer | R=89.6 | LummaStealer | exe
a3e6b4d11165cbc67081dfa5d516fd4f05a06c1de7e7f05450611d1987bc7bfe  # Infostealer | R=89.4 | LummaStealer | exe
757d9491cb7a290ba19b8594291632657919e0d5eb966f0741d6f0afef172d8b  # Infostealer | R=86.9 | LummaStealer | exe
0a4d85148ad5851b4db1fcd4337cad89d488151359dbdb98be518bff0e403cbd  # RAT | R=82.4 | RemcosRAT | exe
991bc33adf6e07583c78140bc589c1eeee1d53748055c3c70d5b03f65539ecdd  # Loader | R=74.3 | unbekannt | exe
46dc1020933455323246a5f00ca71006925dff1bddc273519884b4fb3f78ca05  # Loader | R=71.6 | unbekannt | exe
a078ea491822b8d8014821cdcce8bcb450947a9e1c5e0b55d259df864978ee17  # Loader | R=59.5 | unbekannt | msi
273b58852207b92bdb90699e4be2a559430f18ab82fb97c1d0d3c21d3d862d70  # Skript/Dropper | R=38.2 | unbekannt | js
6caefde626311178946e86ebb0df91359834b3c993a8920eff5a35307421ad92  # Andere / Unbekannt | R=32.5 | unbekannt | unknown
bae9ebf2286071c5bc562644c8b056767705ee528e9fd52145db6adeec96c33a  # Andere / Unbekannt | R=31.6 | AgentTesla | exe

[Tags]
AgentTesla
Formbook
LummaStealer
RemcosRAT
dropped-by-Amadey
dropped-by-phorpiex
exe
fbf543
js
msi
signed

[VT Engine Detections]

## a078ea491822b8d80148...  (unbekannt)
  ALYac                          IL:Trojan.MSILZilla.244254
  Arcabit                        IL:Trojan.MSILZilla.D3BA1E [many]
  BitDefender                    IL:Trojan.MSILZilla.244254
  CTX                            msi.trojan.msilzilla
  Emsisoft                       IL:Trojan.MSILZilla.244254 (B)
  GData                          IL:Trojan.MSILZilla.244254
  Kaspersky                      VHO:Trojan.MSIL.Convagent.gen
  VIPRE                          IL:Trojan.MSILZilla.244254

## 46dc1020933455323246...  (unbekannt)
  APEX                           Malicious
  AVG                            Win32:MalwareX-gen [Bot]
  AhnLab-V3                      Trojan/Win.Phorpiex.R601456
  Antiy-AVL                      Trojan/Win32.Patched
  Arcabit                        Trojan.Mint.Zard.39
  Avast                          Win32:MalwareX-gen [Bot]
  Avira                          HEUR/AGEN.1371853
  BitDefender                    Gen:Heur.Mint.Zard.39
  Bkav                           W32.AIDetectMalware
  CTX                            exe.unknown.mint
  ClamAV                         Win.Dropper.Phorpiex-10008698-0
  CrowdStrike                    win/malicious_confidence_100% (D)
  Cylance                        Unsafe
  Cynet                          Malicious (score: 100)
  DeepInstinct                   MALICIOUS
  DrWeb                          Trojan.DownLoader46.474
  ESET-NOD32                     Win32/Phorpiex_AGen.U worm
  Elastic                        malicious (high confidence)
  Emsisoft                       Gen:Heur.Mint.Zard.39 (B)
  F-Secure                       Heuristic.HEUR/AGEN.1371853
  GData                          Gen:Heur.Mint.Zard.39
  Google                         Detected
  Ikarus                         Worm.Win32.Phorpiex
  K7AntiVirus                    EmailWorm ( 005df7d61 )
  K7GW                           EmailWorm ( 005df7d61 )
  Kaspersky                      VHO:Trojan-Dropper.Win32.Phorpiex.gen
  Kingsoft                       malware.kb.a.1000
  Malwarebytes                   Spyware.Phorpiex
  McAfeeD                        ti!46DC10209334
  MicroWorld-eScan               Gen:Heur.Mint.Zard.39
  Microsoft                      Trojan:Win32/Phorpiex.BF!MTB
  Panda                          Trj/Genetic.gen
  Rising                         Trojan.Phorpiex!8.4A25 (TFE:5:UGGl9kuHmvK)
  SUPERAntiSpyware               Trojan.Agent/Gen-Downloader
  Sangfor                        Trojan.Win32.Save.a
  SentinelOne                    Static AI - Malicious PE
  Skyhigh                        Trojan-JBBB!738213F7E80C
  Symantec                       ML.Attribute.HighConfidence
  TrellixENS                     Trojan-JBBB!738213F7E80C
  TrendMicro-HouseCall           Trojan.Win32.VSX.PE04C9z
  VBA32                          BScope.TrojanDropper.Phorpiex
  VIPRE                          Gen:Heur.Mint.Zard.39
  Varist                         W32/S-c70f2e64!Eldorado
  Xcitium                        TrojWare.Win32.Injector.UOL@4q80ri
  alibabacloud                   Trojan[downloader]:Win/Phorpiex.RK8PHU
  huorong                        Worm/Phorpiex.o

## 0a4d85148ad5851b4db1...  (RemcosRAT)
  APEX                           Malicious
  AVG                            NSIS:MalwareX-gen [Inj]
  Antiy-AVL                      Trojan/Win32.Sonbokli.a
  Arcabit                        Trojan.Generic.D4C01112
  Avast                          NSIS:MalwareX-gen [Inj]
  BitDefender                    Trojan.GenericKD.79696146
  Bkav                           W32.AIDetectMalware
  CAT-QuickHeal                  Trojan.Ghanarava.17735778875096ed
  CTX                            exe.trojan.generic
  CrowdStrike                    win/malicious_confidence_70% (W)
  Cylance                        Unsafe
  Cynet                          Malicious (score: 99)
  DeepInstinct                   MALICIOUS
  DrWeb                          Trojan.DownLoader49.36416
  ESET-NOD32                     NSIS/Injector.ASH trojan
  Elastic                        malicious (moderate confidence)
  Emsisoft                       Trojan.GenericKD.79696146 (B)
  Fortinet                       NSIS/Injector.EOO!tr
  GData                          Trojan.GenericKD.79696146
  Google                         Detected
  Ikarus                         Win32.SuspectCrc
  K7AntiVirus                    Trojan-Downloader ( 005ce5f21 )
  K7GW                           Trojan-Downloader ( 005ce5f21 )
  Kaspersky                      HEUR:Trojan-Downloader.Win32.Minix.gen
  Kingsoft                       Win32.Trojan-Downloader.Minix.gen
  Lionic                         Trojan.Win32.Minix.4!c
  McAfeeD                        ti!0A4D85148AD5
