# IOC Export  2026-04-11_07-06-UTC
# 31 Samples  |  Format: sha256  # kategorie | score | familie | typ
#
[SHA256]
e0d6089856bd4715485cdff83952b434a6f2ef744393f1afc13a7c80a1e45860  # Botnet/IoT | R=84.3 | Mirai | elf
e9626841fac35d69bf9346c9e4b5af80f41d2a57657eb97d108f26a644382c6b  # Botnet/IoT | R=84.2 | Mirai | elf
2741bfd2098fe3493ad3b8426589214f2dcf4a83aa599a768f44348f89243a37  # Botnet/IoT | R=84.2 | Mirai | sh
f0c4d4a459b55e43283355731f60e3854a4b284eca4b89a2d7b7feb76064afef  # Botnet/IoT | R=84.2 | Mirai | elf
622e1bbcdff2b189093d0772ba39a73c7375993dde9c91419eb9f4cfcc71113f  # Botnet/IoT | R=84.2 | Mirai | elf
d9468932418de6d6eb1a84a199cd550b550731ee67f7fea03a3c1ba29a20f3ba  # Botnet/IoT | R=84.0 | Mirai | elf
6984cc12c00a60f186ec8be8d4e5630ef4228cc78b0e19cabb5c760b2c9e65e5  # Botnet/IoT | R=84.0 | Mirai | elf
0dd6ba5913c2835fead82b07a9375753e915d1ad595a1a26199781faab271202  # Botnet/IoT | R=84.0 | Mirai | elf
6aa047730c733a7f155cc3ce1c97e9d11df6c6c616c871e3311974f74c738f09  # Botnet/IoT | R=84.0 | Mirai | elf
e7df5fb58b8a81b4332ad71153701f506bc0370ca587569f4db600d07d63c3f6  # Botnet/IoT | R=83.8 | Mirai | elf
991e9b05a960df84a7710e9b949cb20e077d5ebe1db04993966785b8bea04e7f  # Botnet/IoT | R=83.8 | Mirai | elf
9b0eb285ec0b8d4c2c4383cd09aebfeb4cefabad2d093c44e60273c002e54635  # Botnet/IoT | R=83.8 | Mirai | elf
5e042d19cc462af31a9dbca1266d9124badbb846be99e8e3f7afdb1fbe3dc70a  # Botnet/IoT | R=83.8 | Mirai | elf
fbe87d54486705f832602f4f4bd9067e5912600ff8e80c76fa6dcfb89aca36a4  # Botnet/IoT | R=83.8 | Mirai | elf
230ed0a7ae9854426b7ada13914ead5d1c977e6c3dd20a578ae199248edb17b7  # Botnet/IoT | R=83.8 | Mirai | elf
8e450350920a77a4433f09a433a610156e85193fb1776ae4c62d016ec62b0779  # Botnet/IoT | R=83.8 | Mirai | elf
b540656b69cd2684eb0bb0f610a255c87ba647834aad5bc00f0f8b44dcc665af  # Botnet/IoT | R=83.8 | Mirai | elf
bca02842e1a54df952a46a252f6d3dd2d910466b058ab8826e3d89339a424359  # Botnet/IoT | R=83.8 | Mirai | elf
ead33026ba998d6996cd20438c915e889c40f22cea0b8634458027070c65c4ae  # Botnet/IoT | R=83.8 | Mirai | elf
2f0dc6ab0edb52c39b36d2809e5d5241ef2ef878ab6980920a9df10d6f7bab7b  # Botnet/IoT | R=83.8 | Mirai | elf
d8d53c10cc9cf1e869fcdaec7a08ffec291147fe86ba9e9b2bcf3603c2a24a55  # Botnet/IoT | R=83.8 | Mirai | elf
dd6c2d5fbb4d3268ecb30692042b09d8ec52a60b9272d879f9c2fb905e8345fb  # Botnet/IoT | R=83.8 | Mirai | elf
3c01145ed6ba3ada22abab16cdccabeac722fb6f6145fc2a316a10244790003c  # Botnet/IoT | R=83.8 | Mirai | elf
813079082d04bf82dd529fa6f5a20d0e7086d824d69bbca2b107255c51f9ccad  # Botnet/IoT | R=77.4 | Mirai | elf
009f1f01ec504d471dc25b6a5b268d40b146dabe3ee6091ebe40cfc0d3ced0ee  # Botnet/IoT | R=77.1 | Mirai | elf
7b9c0ff385f650793c5370e36b6177293e06f51415348823527bfb444dedfad9  # Botnet/IoT | R=76.4 | Mirai | elf
2b054a7698119aab074a22ef0f5175db81c2487d1b3249af902484500ecc534a  # Botnet/IoT | R=75.1 | Mirai | elf
5ea579e8fa695b2312ed199ff228784e4be3a8f3319afa18c40955f926336057  # Trojaner | R=59.9 | ValleyRAT | exe
5ed5ea917110982c0a64a6e3c10517d2871007dbcfba7d11d0aa2b90d6c752ec  # Andere / Unbekannt | R=32.7 | unbekannt | unknown
ca1e8d9ff6fa205be0023f14180848114abd0ab799ae275ae48ce909de9e02a0  # Andere / Unbekannt | R=32.3 | unbekannt | sh
c4af7709afa47f4d98a548518674e23b3b364c9bb2af28f93180715bb2476503  # Andere / Unbekannt | R=32.3 | unbekannt | sh

[Tags]
Gafgyt
Mirai
elf
sh
upx
upx-dec

[VT Engine Detections]

## 2b054a7698119aab074a...  (Mirai) | Defender: ✓ Gen:Variant.Trojan.Linux.Gafgyt.8
   Erkannt: 39/76 Engines (51.3%) — 🟠 MÄSSIG ERKANNT
  ALYac                          Gen:Variant.Trojan.Linux.Gafgyt.8
  AVG                            ELF:Mirai-AAU [Trj]
