# IOC Export  2026-04-12_10-42-UTC
# 16 Samples  |  Format: sha256  # kategorie | score | familie | typ
#
[SHA256]
bc82e931cb21b4c06c99794008fa99d754899cb972fff0184a4db4883afbff65  # Botnet/IoT | R=84.5 | Mirai | elf
fe60cb7477ea67c5655ce362eedf2b8e9ae323d8770d60760a496876f560c9cb  # Botnet/IoT | R=84.3 | Mirai | elf
cf3ebf8de4ad8096dbadd35812d7ed2c777a5340e0273b9578cb9e51dd1729f7  # Botnet/IoT | R=84.3 | Mirai | elf
35e59b5009e69db255faf59c842918af9d24a41dff0179dba8b00cb7895bde0f  # Trojaner | R=84.3 | CoinMiner | sh
7ccd8cc0373fdcd489db2db9aeedd1bc4f4033d2a7f0a68f7f848bef8ba45643  # Botnet/IoT | R=84.2 | Mirai | elf
ffe12ef5b7c080234d6d5d46f0cfca724faddf648e9c7615512a13f2bac2d471  # Botnet/IoT | R=84.1 | Mirai | elf
d80bcc8a926440f4033946f46680ddaea8e1bd9e4cbd64732bc94a84845c8e73  # Botnet/IoT | R=84.1 | Mirai | elf
a6c9da2cdb69b12da6df6b0997f48d089935a08410015e601cfa08880f401907  # Botnet/IoT | R=77.6 | Mirai | elf
3ec9e137ab496ec7c9e3850d4affef1e35caef2841ba879dc9041fea712bcff0  # Botnet/IoT | R=77.1 | Mirai | elf
4006734e924b7288acb33050e18966673dcef5725af55f1748af6b8b923cf0ca  # Botnet/IoT | R=77.0 | Mirai | elf
a4172970113918ec7065c7528a4df3e419f777bbbe09a9478f020ffa74282acf  # Botnet/IoT | R=76.0 | unbekannt | elf
1be6a8d35632d5702bde202d95a972bf7a587367a21756cfd219b7bd2d47a615  # Trojaner | R=57.0 | DiscordRAT | exe
b601d17b3a0f8d870965dd825145a2c90d85b8f4ff6a713f2fc0ea28d093660a  # Windows-Malware | R=38.1 | unbekannt | exe
917af50bdb0b0d2f17c4875e72aa8bbf096defab7957ae041966eb192dfa60db  # Andere / Unbekannt | R=32.4 | unbekannt | sh
44d2e656cd3641bc336724fef0692528b309a189fb5ab18861d0d498e5164437  # Andere / Unbekannt | R=32.0 | unbekannt | sh
025d683b3ebcfc6ffd60c825d2ea6b94f337e9af9c2ba0d6cbc59277246bbe05  # Andere / Unbekannt | R=32.0 | unbekannt | sh

[Tags]
Mirai
elf
sh

[VT Engine Detections]

## a6c9da2cdb69b12da6df...  (Mirai) | Defender: ✓ Gen:Variant.Trojan.Linux.Gafgyt.8
   Erkannt: 33/76 Engines (43.4%) — 🟠 MÄSSIG ERKANNT
  ALYac                          Gen:Variant.Trojan.Linux.Gafgyt.8
  AVG                            ELF:Agent-AYQ [Trj]
  Antiy-AVL                      Trojan[Backdoor]/Linux.Mirai
  Arcabit                        Trojan.Trojan.Linux.Gafgyt.8
  Avast                          ELF:Agent-AYQ [Trj]
  Avast-Mobile                   ELF:Gafgyt-KS [Trj]
  Avira                          EXP/ELF.Mirai.Z.A
  BitDefender                    Gen:Variant.Trojan.Linux.Gafgyt.8
  CTX                            elf.trojan.gafgyt
  ClamAV                         Unix.Trojan.Mirai-7135916-0
  Cynet                          Malicious (score: 99)
  DrWeb                          Linux.Mirai.9816
  ESET-NOD32                     Linux/Gafgyt_AGen.DS trojan
  Elastic                        Linux.Trojan.Gafgyt
  Emsisoft                       Gen:Variant.Trojan.Linux.Gafgyt.8 (B)
  F-Secure                       Exploit.EXP/ELF.Mirai.Z.A
  Fortinet                       Linux/Mirai.CDB!tr
  GData                          Gen:Variant.Trojan.Linux.Gafgyt.8
  Google                         Detected
  Ikarus                         Trojan-Downloader.Linux.Agent
  Kaspersky                      HEUR:Backdoor.Linux.Mirai.b
  Lionic                         Trojan.ELF.Mirai.4!c
  MaxSecure                      Trojan.Malware.121218.susgen
  MicroWorld-eScan               Gen:Variant.Trojan.Linux.Gafgyt.8
  Microsoft                      Backdoor:Linux/Mirai.AY!MTB
  Rising                         Backdoor.Gafgyt/Linux!1.12AC3 (CLASSIC)
  SentinelOne                    Static AI - Malicious ELF
  Symantec                       Linux.Mirai
  Tencent                        Backdoor.Linux.Mirai.wao
  VIPRE                          Gen:Variant.Trojan.Linux.Gafgyt.8
  Varist                         E32/Mirai.EH.gen!Camelot
  alibabacloud                   DDOS:Linux/Mirai
  huorong                        Trojan/Linux.Mirai.q!crit

## 3ec9e137ab496ec7c9e3...  (Mirai) | Defender: ✓ Trojan.Linux.Mirai.AVHH
   Erkannt: 34/76 Engines (44.7%) — 🟠 MÄSSIG ERKANNT
  ALYac                          Trojan.Linux.Mirai.AVHH
  AVG                            ELF:Mirai-AQY [Trj]
  AhnLab-V3                      Worm/Linux.Mirai.SE286
  Antiy-AVL                      Trojan[Backdoor]/Linux.Mirai
  Arcabit                        Trojan.Linux.Mirai.AVHH
  Avast                          ELF:Mirai-AQY [Trj]
  Avast-Mobile                   ELF:Mirai-AQY [Trj]
  BitDefender                    Trojan.Linux.Mirai.AVHH
  CTX                            elf.trojan.avhh
  Cynet                          Malicious (score: 99)
  DrWeb                          Linux.Mirai.9821
  ESET-NOD32                     Linux/Mirai.ATK trojan
  Elastic                        Linux.Generic.Threat
  Emsisoft                       Trojan.Linux.Mirai.AVHH (B)
  Fortinet                       ELF/Mirai.9821!tr
  GData                          Trojan.Linux.Mirai.AVHH
  Google                         Detected
  Ikarus                         Trojan.Linux.Mirai
  Kaspersky                      HEUR:Backdoor.Linux.Mirai.kn
  Kingsoft                       Linux.Backdoor.elf.2023947
  McAfeeD                        Trojan:Linux/Mirai.ENM
  MicroWorld-eScan               Trojan.Linux.Mirai.AVHH
  Microsoft                      Backdoor:Linux/Mirai.AW!xp
  Rising                         Backdoor.Mirai/Linux!1.128BE (CLASSIC)
  Sangfor                        Suspicious.Linux.Save.a
  SentinelOne                    Static AI - Malicious ELF
  Skyhigh                        Linux/Mirai.cx
  Sophos                         Linux/DDoS-BIX
