# IOC Export  2026-04-19_10-43-UTC
# 12 Samples  |  Format: sha256  # kategorie | score | familie | typ
#
[SHA256]
b7f55465f7f5400953d0f07a051f614d12740f0efc5c3b14d3a4369620a96db4  # Botnet/IoT | R=83.6 | Mirai | elf
dea28db367115ac060b007e354b0ff8cd554af70f5995100e00be4aea3a5226a  # Botnet/IoT | R=83.6 | Mirai | sh
30c1114e05874981661292fcca63241571eb0186175fcddc61cbc99fd3e52d7b  # Loader | R=74.0 | unbekannt | exe
0693d1659ff12cecfcc8ac404bec27c0eb9e2251c15a2049dc5e91268bf72e41  # Loader | R=74.0 | unbekannt | exe
8d8b467cc8473f5a02df308943a7e87927d5e3c1b6f52f1916226a1687697c64  # RAT | R=72.7 | NanoCore | exe
2762f3e0a56d62e70157c398626856befead49f0926ba921f478bb599f10e2f6  # Infostealer | R=72.2 | LummaStealer | exe
d0849b2ce09bffdd925bbac6327361f4e219a1c58d07b65be71d209ff7fd73ec  # Loader | R=70.9 | Mint | exe
0bc6aad1faad13f94a2bba6a927a648fc49327ac224d0abe51530f91eb2d1a1c  # Loader | R=65.4 | Mint | exe
1331641da9e8f87325cd3ae440ed38b97472879a5f3ea5c2ec697639d248551a  # Linux-Malware | R=43.3 | unbekannt | elf
1a878d78a64deab4c96f22f28f3dd7424d337916dc540df86d71d3bd7fc3fcf3  # Linux-Malware | R=43.3 | unbekannt | elf
b531ee0e453c6a514daa09a4e7d6e8fae8f433269afba59035d84e68a5ff42a2  # Windows-Malware | R=38.5 | unbekannt | msi
b470f10ad68c7c132f361f37cfae738d7dc2ba4c5b440b09a5568fcd69e1d4d9  # Andere / Unbekannt | R=32.7 | unbekannt | unknown

[Tags]
Mirai
NanoCore
RAT
dropped-by-phorpiex
elf
exe
msi
sh
signed

[VT Engine Detections]

## d0849b2ce09bffdd925b...  (Mint) | Defender: ✓ Gen:Heur.Mint.Zard.39
   Erkannt: 32/76 Engines (42.1%) — 🟠 MÄSSIG ERKANNT
  APEX                           Malicious
  Arcabit                        Trojan.Mint.Zard.39
  BitDefender                    Gen:Heur.Mint.Zard.39
  Bkav                           W32.AIDetectMalware
  CTX                            exe.unknown.mint
  ClamAV                         Win.Dropper.Phorpiex-10008698-0
  CrowdStrike                    win/malicious_confidence_90% (D)
  Cylance                        Unsafe
  Cynet                          Malicious (score: 100)
  DeepInstinct                   MALICIOUS
  ESET-NOD32                     Win32/Phorpiex_AGen.V worm
  Elastic                        malicious (high confidence)
  Emsisoft                       Gen:Heur.Mint.Zard.39 (B)
  GData                          Gen:Heur.Mint.Zard.39
  Google                         Detected
  Ikarus                         Worm.Win32.Phorpiex
  Kingsoft                       malware.kb.a.999
  McAfeeD                        Trojan:Win/Phorpiex.VY
  MicroWorld-eScan               Gen:Heur.Mint.Zard.39
  Microsoft                      Trojan:Win32/Phorpiex.BF!MTB
  Sangfor                        Trojan.Win32.Save.a
  SentinelOne                    Static AI - Malicious PE
  Skyhigh                        Trojan-JBBB!EC7F333395A8
  Symantec                       ML.Attribute.HighConfidence
  TrellixENS                     Trojan-JBBB!EC7F333395A8
  TrendMicro-HouseCall           Trojan.Win32.VSX.PE04C9z
  VBA32                          BScope.Trojan.Reconyc
  VIPRE                          Gen:Heur.Mint.Zard.39
  Varist                         W32/S-3439e4c9!Eldorado
  Xcitium                        TrojWare.Win32.Injector.UOL@4q80ri
  alibabacloud                   Trojan[dropper]:Win/Phorpiex.W
  huorong                        Worm/Phorpiex.o

