# IOC Export  2026-05-09_06-20-UTC
# 5 Samples  |  Format: sha256  # kategorie | score | familie | typ
#
[SHA256]
4a8e50d8cdd3714be1ff3a00e406b5cfffbc391a92b18b29602cbbd3d846591f  # Loader | R=73.9 | mu | sh
0d4a07bdb41c27805c9ce7adaf623ca9689ab53aa133e84f1d99af8006f49932  # RAT | R=71.4 | NanoCore | exe
b3a73f1e60eb11ca697316528c85c214e37b734452e8701619a3c3dd3d35be39  # RAT | R=71.1 | NanoCore | exe
6d25076b0cf8d493bd252bcfdee87c9ec9e23ddb814cfc671e3e80d31e2bf6f8  # Trojaner | R=61.2 | VenomRAT | exe
40716f3d0c8300f3fe9020679ba3019173bc75adb6144a9a7abe0238ce13e30e  # Andere / Unbekannt | R=32.5 | unbekannt | unknown

[Tags]
NanoCore
RAT
exe
sh

[VT Engine Detections]

## 4a8e50d8cdd3714be1ff...  (mu) | Defender: ✗ nicht erkannt
   Erkannt: 14/75 Engines (18.7%) — 🟡 SCHWACH ERKANNT
  AVG                            BV:Agent-CEL [Trj]
  Avast                          BV:Agent-CEL [Trj]
  ESET-NOD32                     Linux/Agent.AOF trojan
  Fortinet                       BASH/Agent.AOF!tr
  Google                         Detected
  Kaspersky                      HEUR:Trojan-Downloader.Shell.Agent.bc
  Microsoft                      TrojanDownloader:Script/Malgent.STD!MSR
  NANO-Antivirus                 Trojan.Script.Dropper.kpvdnu
  Rising                         Backdoor.Agent/Linux!9.6BF29 (XSE:WFNFX0JBVDp4E+rwdsbUkc3s4ZR/f1nS)
  Skyhigh                        Linux/Downloader.mu
  Tencent                        Trojan-DL.Linux.Agent.505004
  TrellixENS                     Linux/Downloader.mu
  Varist                         Unix/Agent.VA
  huorong                        Backdoor/Linux.Agent.as

## 0d4a07bdb41c27805c9c...  (NanoCore) | Defender: ✓ Backdoor.MSIL.Agent.GD
   Erkannt: 61/75 Engines (81.3%) — ✅ GUT ERKANNT
  ALYac                          Backdoor.MSIL.Agent.GD
  APEX                           Malicious
  AVG                            MSIL:NanoCore-B [Trj]
  AhnLab-V3                      Win-Trojan/Nanocore.Exp
  Antiy-AVL                      Trojan/MSIL.NanoCore
  Arcabit                        Backdoor.MSIL.Agent.GD
  Avast                          MSIL:NanoCore-B [Trj]
  Avira                          TR/Dropper.MSIL.Gen7
  BitDefender                    Backdoor.MSIL.Agent.GD
  Bkav                           W32.Malware.4B8D4BC7
  CAT-QuickHeal                  Trojan.Orbus.C3
  CTX                            exe.backdoor.msil
  ClamAV                         Win.Trojan.NanoCore-9852758-0
  CrowdStrike                    win/malicious_confidence_100% (D)
  Cylance                        Unsafe
  DeepInstinct                   MALICIOUS
  DrWeb                          Trojan.Nanocore.23
  ESET-NOD32                     MSIL/NanoCore.E trojan
  Elastic                        Windows.Trojan.Nanocore
  Emsisoft                       Trojan.NanoCore (A)
  F-Secure                       Trojan.TR/Dropper.MSIL.Gen7
  Fortinet                       MSIL/NanoCore.K!tr
  GData                          MSIL.Backdoor.Nancat.A
  Google                         Detected
  Gridinsoft                     Backdoor.Win32.Noancooe.cc!ni
  Ikarus                         Backdoor.Rat.Nanocore
  Jiangmin                       Backdoor.Generic.zwu
  K7AntiVirus                    Trojan ( 005b2a921 )
  K7GW                           Trojan ( 0057b88c1 )
  Kaspersky                      Trojan.MSIL.Agent.fpar
  Kingsoft                       malware.kb.c.1000
  Malwarebytes                   Backdoor.NanoCore
  MaxSecure                      Trojan.Malware.300983.susgen
  McAfeeD                        Real Protect-LS!64EDE03FFB75
  MicroWorld-eScan               Backdoor.MSIL.Agent.GD
  Microsoft                      Backdoor:MSIL/Nanocore!atmn
  NANO-Antivirus                 Trojan.Win32.NanoBot.hmqoyu
  Panda                          Bck/Agent.KNM
  Rising                         Backdoor.NanoCore!1.B6F9 (CLASSIC)
  SUPERAntiSpyware               Backdoor.Nanocore/Variant
  Sangfor                        Suspicious.Win32.Save.a
  SentinelOne                    Static AI - Malicious PE
  Skyhigh                        Trojan-FICC!64EDE03FFB75
  Sophos                         Troj/NanoCor-BT
  Symantec                       Trojan.Nancrat
  TACHYON                        Backdoor/W32.DN-Nanocore.207872
  Tencent                        Trojan.Msil.Agent.fb
  Trapmine                       malicious.high.ml.score
  TrellixENS                     Trojan-FICC!64EDE03FFB75
  TrendMicro                     BKDR_NOANCOOE.SM
  TrendMicro-HouseCall           BKDR_NOANCOOE.SM
  VBA32                          Trojan.MSIL.NanoCore.Heur
  VIPRE                          Backdoor.MSIL.Agent.GD
  Varist                         W32/NanoCore.C.gen!Eldorado
  ViRobot                        Backdoor.Win32.NanoCore.Gen.A
  VirIT                          Trojan.Win32.DownLoader12.BSON
  Xcitium                        Backdoor.MSIL.Noancooe.JDE@5s4u9t
  ZoneAlarm                      Troj/NanoCor-BT
  Zoner                          Trojan.Win32.48280
  huorong                        Backdoor/MSIL.NanoCore.b
  tehtris                        Generic.Malware

