# IOC Export  2026-05-12_23-05-UTC
# 8 Samples  |  Format: sha256  # kategorie | score | familie | typ
#
[SHA256]
d39520f3eebb5fffe353dbed91958b9d61f70123bb9cfdd512da5177cfbbf2ed  # RAT | R=89.2 | AsyncRAT | exe
8cd988339da258cbbb000009f6fe817d168bec28774f204b9ac6331e8404fdb1  # Trojaner | R=83.4 | FakeGame | exe
542a659bb2be59897efc121c8ade7a8a32fa00ab2bafadb3f5d05edb564e7170  # RAT | R=81.3 | ValleyRAT | exe
92598fd7f0d08b6ed7534573448bb262091b178cb63b436e399a6a1b04596e65  # RAT | R=71.8 | DCRat | exe
b19633c79f345c08f5cfb2d04cad60391608dbc23e4b29adf312ee3eb6e9bd0c  # RAT | R=69.3 | ValleyRAT | exe
462da039980a8f166fbd27d15437fa093ab9c369ba13055d7fad90bf3b9d1627  # RAT | R=62.0 | NanoCore | exe
a436131de194c33ad46eeae05cb824410658fae18acaece1070183d1c34f3273  # Andere / Unbekannt | R=32.6 | unbekannt | unknown
5cad743af28092b1f640663d116b658506c4f3fced2744c96a84a6c74774723f  # Andere / Unbekannt | R=32.2 | unbekannt | unknown

[Tags]
AsyncRAT
DCRat
RAT
ValleyRAT
exe

[VT Engine Detections]

## 542a659bb2be59897efc...  (ValleyRAT) | Defender: ✗ nicht erkannt
   Erkannt: 14/75 Engines (18.7%) — 🟡 SCHWACH ERKANNT
  APEX                           Malicious
  AVG                            FileRepMalware [Misc]
  Avast                          FileRepMalware [Misc]
  CrowdStrike                    win/malicious_confidence_60% (D)
  DeepInstinct                   MALICIOUS
  DrWeb                          BackDoor.Farfli.315
  Elastic                        malicious (moderate confidence)
  Gridinsoft                     Trojan.Win32.Agent.oa!s1
  K7AntiVirus                    Trojan ( 000b11821 )
  K7GW                           Trojan ( 000b11821 )
  Kaspersky                      UDS:Backdoor.Win32.Xkcp
  McAfeeD                        ti!542A659BB2BE
  Paloalto                       generic.ml
  Sangfor                        Trojan.Win32.Silverfox.Cont

## b19633c79f345c08f5cf...  (ValleyRAT) | Defender: ✓ Gen:Variant.Cerbu.273275
   Erkannt: 50/75 Engines (66.7%) — 🟠 MÄSSIG ERKANNT
  ALYac                          Gen:Variant.Cerbu.273275
  AVG                            Win64:MalwareX-gen [Bd]
  AhnLab-V3                      Trojan/Win.Generic.C5868507
  Alibaba                        Trojan:Win64/ValleyRat.590228be
  Antiy-AVL                      Trojan/Win32.FakeApp
  Arcabit                        Trojan.Cerbu.D42B7B
  Avast                          Win64:MalwareX-gen [Bd]
  Avira                          BDS/W64.MalwareX
  BitDefender                    Gen:Variant.Cerbu.273275
  Bkav                           W32.Malware.84F2B28F
  CTX                            exe.trojan.generic
  CrowdStrike                    win/malicious_confidence_100% (D)
  Cylance                        Unsafe
  Cynet                          Malicious (score: 99)
  DeepInstinct                   MALICIOUS
  ESET-NOD32                     Win64/GenKryptik.HQSE trojan
  Elastic                        malicious (high confidence)
  Emsisoft                       Gen:Variant.Cerbu.273275 (B)
  F-Secure                       Backdoor.BDS/W64.MalwareX
  Fortinet                       W64/GenKryptik.HQSE!tr
  GData                          Gen:Variant.Cerbu.273275
  Google                         Detected
  Gridinsoft                     Trojan.Win64.Agent.sa
  Ikarus                         Trojan.Win64.Krypt
  K7AntiVirus                    Backdoor ( 006de62c1 )
  K7GW                           Backdoor ( 006de62c1 )
  Kaspersky                      HEUR:Trojan.Win32.Agent.pefng
  Kingsoft                       malware.kb.a.989
  Lionic                         Trojan.Win32.Agent.Y!c
  Malwarebytes                   Trojan.Loader
  MaxSecure                      Trojan.Malware.333931294.susgen
  McAfeeD                        Trojan:Win/ValleyRat.NEA
  MicroWorld-eScan               Gen:Variant.Cerbu.273275
  Microsoft                      Trojan:Win64/ValleyRat.AKV!MTB
  Paloalto                       generic.ml
  Panda                          Trj/GdSda.A
  Rising                         Trojan.Loader!1.13D02 (CLASSIC)
  Sangfor                        Trojan.Win32.Save.a
  SentinelOne                    Static AI - Malicious PE
  Sophos                         Mal/Generic-S
  Symantec                       ML.Attribute.HighConfidence
  Tencent                        Backdoor.Win32.Phish.16003551
  Trapmine                       malicious.high.ml.score
  TrellixENS                     Artemis!0C2F1BF11E31
  TrendMicro                     Backdoor.Win64.CERBU.TL0101E926ZZ
  TrendMicro-HouseCall           Backdoor.Win64.CERBU.TL0101E926ZZ
  VIPRE                          Gen:Variant.Cerbu.273275
  Varist                         W64/Agent.MCQ.gen!Eldorado
  alibabacloud                   Trojan:Win/ValleyRat.AHN2XJC
  huorong                        Trojan/FakeApp.ajw

## 92598fd7f0d08b6ed753...  (DCRat) | Defender: ✓ Trojan.MSIL.Basic.8.Gen
   Erkannt: 59/75 Engines (78.7%) — ✅ GUT ERKANNT
  ALYac                          Trojan.MSIL.Basic.8.Gen
  APEX                           Malicious
  AVG                            Win32:MalwareX-gen [Cryp]
  Acronis                        suspicious
  AhnLab-V3                      Trojan/Win.FUJL.C5119684
  Alibaba                        Backdoor:MSIL/DCRat.9588c961
  Antiy-AVL                      Trojan[Backdoor]/MSIL.DCRat
  Arcabit                        Trojan.MSIL.Basic.8.Gen
  Avast                          Win32:MalwareX-gen [Cryp]
  Avira                          TR/W32.MalwareX
  BitDefender                    Trojan.MSIL.Basic.8.Gen
  Bkav                           W32.Malware.61CF7C29
  CAT-QuickHeal                  Trojan.DCRat.S29707587
  CTX                            exe.trojan.msil
  ClamAV                         Win.Packed.Msilmamut-9950860-0
  CrowdStrike                    win/malicious_confidence_100% (W)
  Cylance                        Unsafe
