# IOC Export  2026-05-16_11-05-UTC
# 13 Samples  |  Format: sha256  # kategorie | score | familie | typ
#
[SHA256]
635d1e58cca091f0515f69e78be4cef6ed549cead6a6e0ed6c6e369130b186e1  # Botnet/IoT | R=84.2 | Mirai | elf
f6edcb837b76ea1e1546d375ddcb69ef764d0c9fc9047c9261dd9d2e979a65cb  # RAT | R=73.5 | QuasarRAT | exe
fcbc63d46669556d586ac354baa15b5f4917d03c87e7211e64ac5f89c7dc075c  # Botnet/IoT | R=73.0 | ELF:Mirai-CFR [Trj] | elf
d906981c2fbde81ebdad1f1f5cff0f2402b4540a7bc7dd53455c81066f89fa3e  # Botnet/IoT | R=72.4 | ELF:Mirai-CFR [Trj] | elf
462da039980a8f166fbd27d15437fa093ab9c369ba13055d7fad90bf3b9d1627  # RAT | R=62.0 | NanoCore | exe
fe9772392f131a7ad37126b9d2392251b949cc5abca7d005556743959f123ee1  # Windows-Malware | R=47.1 | Barys | exe
3beba06f07f83f2c657453d78bf974b88a2da4f0c77a49b95892e5ab6f1609e7  # Linux-Malware | R=43.0 | unbekannt | elf
62b1ab3641407fdff34ae95179668a715fae7d5035e01ad6da5a16acfa7995ea  # Linux-Malware | R=43.0 | unbekannt | elf
eeb55f16e711e3a20e6f5458c6cfe142dfdb0be051a11e42145a0dc42595740e  # Linux-Malware | R=43.0 | unbekannt | elf
a83742ea1bef33ba96be8161de9661a08c1672dcc643497c75fba7aa241ccf47  # Windows-Malware | R=37.9 | unbekannt | exe
0ed532969ff3525dd0b34c58f89db11f9ed5b0f70602ec54b733bf22225288d7  # Andere / Unbekannt | R=31.8 | unbekannt | unknown
b7c9947849ab668c34fddd02fcd7a97eb36f33927e178880a3377bdc11258b2e  # Andere / Unbekannt | R=31.8 | unbekannt | unknown
84f3be13a63075064c39c93c2161d82f489114d0b90abdba144d6f95399fa3e7  # Andere / Unbekannt | R=31.8 | unbekannt | unknown

[Tags]
Mirai
QuasarRAT
botnet
c2
elf
exe
trojan

[VT Engine Detections]

## d906981c2fbde81ebdad...  (ELF:Mirai-CFR [Trj]) | Defender: ✗ nicht erkannt
   Erkannt: 21/75 Engines (28.0%) — 🟡 SCHWACH ERKANNT
  AVG                            ELF:Mirai-CFR [Trj]
  Antiy-AVL                      Trojan/Linux.Ngioweb
  Avast                          ELF:Mirai-CFR [Trj]
  Avast-Mobile                   ELF:Mirai-CQP [Trj]
  Avira                          TR/LINUX.Mirai.CFR
  ClamAV                         Unix.Dropper.Mirai-7540662-0
  Cynet                          Malicious (score: 99)
  DrWeb                          Linux.Mirai.9810
  Elastic                        Linux.Trojan.Gafgyt
  F-Secure                       Trojan.TR/LINUX.Mirai.CFR
  Fortinet                       ELF64/Mirai.TSU!tr.botnet
  Google                         Detected
  Ikarus                         LINUX.Agent
  Kaspersky                      HEUR:Backdoor.Linux.Mirai.gen
  McAfeeD                        Trojan:Linux/Mirai.EQQ
  Microsoft                      Backdoor:Linux/Mirai.jj!MTB
  Rising                         Backdoor.Mirai/Linux!1.13097 (CLASSIC)
  SentinelOne                    Static AI - Malicious ELF
  Tencent                        Linux.Backdoor.Mirai.Zimw
  Varist                         E64/Agent.S.gen!Eldorado
  alibabacloud                   DDOS:Linux/Mirai

## fcbc63d46669556d586a...  (ELF:Mirai-CFR [Trj]) | Defender: ✗ nicht erkannt
