# IOC Export  2026-06-06_23-07-UTC
# 7 Samples  |  Format: sha256  # kategorie | score | familie | typ
#
[SHA256]
6266afe2c3346f13d28091c7cacfa31ec104babb432c5334d308dd277a917863  # Loader | R=74.9 | Win64:Evo-gen [Trj] | exe
ab2b0b2ec162c2ada4c92db0345fbdf0f2e1df189c299e5b668b0ba850bd68fb  # Trojaner | R=72.4 | Linux | elf
be2cbb34f0f87c275a175063fe77861f9805e17c35882fadf7784e8689c24cab  # Trojaner | R=68.4 | Dacic | exe
3ea33da21e2745965c0f2884a7050635d9e72b6f72df48bb763ebbc810a88aca  # Backdoor | R=63.3 | Dacic | exe
12f8eda608964b0414e980597d288aef0da21e6f6ee2080f596431924583ba9c  # Trojaner | R=60.2 | Snojan | exe
3d8eecb08ff192adc7df77e0b7d4a2fa29f994e80e3fda830b5fcf3bca99b31f  # Andere / Unbekannt | R=31.9 | unbekannt | unknown
b571bac3e2c4bfc7858eb736d9f9ad44c53f329d7fb8181e61b7c047d4f1d17b  # Andere / Unbekannt | R=31.4 | unbekannt | unknown

[Tags]
B
MIX4.file
dropped-by-GCleaner
elf
enthec
exe
pe
signed
wraith

[VT Engine Detections]

## 3ea33da21e2745965c0f...  (Dacic) | Defender: ✓ GenPack:Generic.Dacic.1.Backdoor.Hangup.A.1E073979
   Erkannt: 67/75 Engines (89.3%) — ✅ GUT ERKANNT
  ALYac                          GenPack:Generic.Dacic.1.Backdoor.Hangup.A.1E073979
  APEX                           Malicious
  AVG                            Win32:MalwareX-gen [Trj]
  Acronis                        suspicious
  AhnLab-V3                      Win-Trojan/Berbew.51712
  Alibaba                        Backdoor:Win32/Berbew.36d
  Antiy-AVL                      Trojan[Proxy]/Win32.Qukart
  Arcabit                        GenPack:Generic.Dacic.1.Backdoor.Hangup.A.1E073979
  Avast                          Win32:MalwareX-gen [Trj]
  Avira                          TR/Dropper.Gen
  BitDefender                    GenPack:Generic.Dacic.1.Backdoor.Hangup.A.1E073979
  Bkav                           W32.Malware.FF4C8C30
  CAT-QuickHeal                  Backdoor.Berbew.A6.MUE
  CTX                            exe.backdoor.dacic
  ClamAV                         Win.Trojan.Crypted-29
  CrowdStrike                    win/malicious_confidence_100% (W)
  Cylance                        Unsafe
  Cynet                          Malicious (score: 100)
  DeepInstinct                   MALICIOUS
  DrWeb                          BackDoor.HangUp.43784
  ESET-NOD32                     Win32/Padodor.NAX trojan
  Elastic                        malicious (high confidence)
  Emsisoft                       GenPack:Generic.Dacic.1.Backdoor.Hangup.A.1E073979 (B)
  F-Secure                       Trojan.TR/Dropper.Gen
  Fortinet                       W32/GenKryptik.BJQV!tr
  GData                          Win32.Trojan.PSE.NOQKRI
  Google                         Detected
  Gridinsoft                     Trojan.Heur!.03216021
  Ikarus                         Backdoor.Win32.Berbew
  Jiangmin                       TrojanProxy.Qukart.gsso
  K7AntiVirus                    Trojan ( 005780dd1 )
  K7GW                           Trojan ( 005780dd1 )
  Kaspersky                      Trojan-Proxy.Win32.Qukart.vjh
  Kingsoft                       malware.kb.a.1000
  Lionic                         Trojan.Win32.Hangup.h!c
  Malwarebytes                   Generic.Spyware.Stealer.DDS
  MaxSecure                      Trojan.Malware.300983.susgen
  McAfeeD                        Real Protect-LS!4DC6B70B738B
  MicroWorld-eScan               GenPack:Generic.Dacic.1.Backdoor.Hangup.A.1E073979
  Microsoft                      Backdoor:Win32/Berbew!pz
  NANO-Antivirus                 Trojan.Win32.Qukart.fotkcn
  Paloalto                       generic.ml
  Panda                          Trj/Genetic.gen
  Rising                         Backdoor.Berbew!1.AE0A (CLASSIC)
  SUPERAntiSpyware               Backdoor.Padodor/Variant
  Sangfor                        Trojan.Win32.Save.a
  SentinelOne                    Static AI - Malicious PE
  Skyhigh                        BehavesLike.Win32.Backdoor.ch
  Sophos                         Troj/Agent-BGRP
  Symantec                       Backdoor.Berbew
  TACHYON                        Backdoor/W32.Padodor
  Tencent                        Trojan.Win32.Pornoasset.a
  Trapmine                       malicious.high.ml.score
  TrellixENS                     Trojan-FVOJ!4DC6B70B738B
  TrendMicro                     Backdoor.Win32.BERBEW.TL0101E826ZZ
  TrendMicro-HouseCall           Trojan.Win32.VSX.PE04CA3
  VBA32                          Backdoor.HangUp
  VIPRE                          GenPack:Generic.Dacic.1.Backdoor.Hangup.A.1E073979
  Varist                         W32/Trojan.HUQQ-7436
  ViRobot                        Trojan.Win.Z.Qukart.139319.DDGC
  VirIT                          Win32.Padodor.V
  Webroot                        W32.Trojan.Gen
  Zillya                         Trojan.QukartGen.Win32.4
  ZoneAlarm                      Troj/Agent-BGRP
  alibabacloud                   Backdoor:Win/Berbew.AZ
  huorong                        Worm/Mimail.a
  tehtris                        Generic.Malware

## ab2b0b2ec162c2ada4c9...  (Linux) | Defender: ✓ Trojan.Linux.Generic.355701
   Erkannt: 38/76 Engines (50.0%) — 🟠 MÄSSIG ERKANNT
  ALYac                          Trojan.Linux.Generic.355701
  AVG                            ELF:Agent-CXA [Trj]
  AhnLab-V3                      CoinMiner/Linux.Agent.30304472
  Arcabit                        Trojan.Linux.Generic.D56D75
  Avast                          ELF:Agent-CXA [Trj]
  Avira                          EXP/ELF.Coinminer.A
  BitDefender                    Trojan.Linux.Generic.355701
  CTX                            elf.trojan.generic
  ClamAV                         Unix.Trojan.Miner-9993889-0
  Cynet                          Malicious (score: 99)
  DrWeb                          Linux.Siggen.8622
  ESET-NOD32                     Linux/CoinMiner.ABF
  Elastic                        Linux.Generic.Threat
  Emsisoft                       Trojan.Linux.Generic.355701 (B)
  F-Secure                       Exploit.EXP/ELF.Coinminer.A
  FireEye                        Trojan.Linux.Generic.355701
  Fortinet                       Adware/Miner
  GData                          Trojan.Linux.Generic.355701
  Google                         Detected
  Ikarus                         Trojan.Linux.Generic
  Jiangmin                       Trojan.Linux.dsm
  Kaspersky                      HEUR:Trojan.Linux.Miner.gen
  Kingsoft                       Script.Ks.Malware.17553
  Lionic                         Trojan.Linux.Miner.4!c
  MicroWorld-eScan               Trojan.Linux.Generic.355701
  Microsoft                      Trojan:Linux/Multiverze
  Rising                         HackTool.NBMiner/Linux!1.E357 (CLASSIC)
  SentinelOne                    Static AI - Malicious ELF
  Sophos                         Mal/Generic-S
  Symantec                       Trojan.Gen.NPE
  Tencent                        Risktool.Linux.Miner.ck
  TrendMicro                     TROJ_GEN.R023C0DLE24
  TrendMicro-HouseCall           TROJ_GEN.R023C0DLE24
  VIPRE                          Trojan.Linux.Generic.355701
  Varist                         E64/ABRisk.HWXH-9
  Zillya                         Trojan.252279.Linux.1
  alibabacloud                   Miner:Linux/CoinMiner.JUO
  huorong                        Trojan/Linux.Agent.ca

## 6266afe2c3346f13d280...  (Win64:Evo-gen [Trj]) | Defender: ✗ nicht erkannt
   Erkannt: 19/75 Engines (25.3%) — 🟡 SCHWACH ERKANNT
  APEX                           Malicious
  AVG                            Win64:Evo-gen [Trj]
  Avast                          Win64:Evo-gen [Trj]
  Avira                          TR/W64.Evo
  Bkav                           W32.Malware.FAA0A17
  CrowdStrike                    win/malicious_confidence_90% (D)
  Cynet                          Malicious (score: 99)
  ESET-NOD32                     WinGo/Kryptik.SR trojan
  Elastic                        malicious (high confidence)
  F-Secure                       Trojan.TR/W64.Evo
  Fortinet                       W64/Kryptik.TG!tr
  Kaspersky                      Backdoor.Win64.Gsb.gen
  Kingsoft                       Win64.Backdoor.Gsb.gen
  McAfeeD                        ti!6266AFE2C334
  Microsoft                      Trojan:Win32/Wacatac.B!ml
  Sangfor                        Suspicious.Win32.Save.a
