# IOC Export  2026-08-01_22-57-UTC
# 101 Samples  |  Format: sha256  # kategorie | score | familie | typ
#
[SHA256]
266ee21a6c9f3408e472b4f146db4d1c6e5b0775bd04bae92862023d6c1e95f8  # Trojaner | R=65.4 | Efimer | exe
cc5b0e89a73093566a5b19218ee89cc119e7b7baf5ab5ca645c3945320f68cb0  # Adware | R=55.1 | Adware | exe
1ca943f06c188ce8b99c66c64b1893e24d96f3efe1bcbb38df76d9a86a1f551f  # Adware | R=55.1 | Adware | exe
dbd4d6c97269d81d6bafc44277d4c1816c4fbdd64b5dbe8088a3fb218edf3cc2  # Adware | R=54.8 | Adware | exe
9ffb1f975241edadab25420adbd56c3e407c20a88a194574548208ce227c530b  # Adware | R=54.8 | Adware | exe
4bd8a6cd907c9a770a24ff69a4afb440eeab605f144d6aee1c3fd9b298c3ecc3  # Windows-Malware | R=39.0 | unbekannt | exe
2d9309a26440b9b7f14e6e77f59ffdd82b674eb2cbdc9a75f54ad0a8638d5718  # Windows-Malware | R=39.0 | unbekannt | exe
12a900fb6054ef636cd9cb43375cb20dbd4862926a3976933a5ec0e93936eca6  # Windows-Malware | R=39.0 | unbekannt | exe
305db5b74ab0d112cd59addef77484548f661dce5be9b65c49ef3d8d44c77d2c  # Windows-Malware | R=39.0 | unbekannt | exe
0fa503b8e070aceebba5c4d1ea21ec063c28292f904278b80741ddee515beb04  # Windows-Malware | R=39.0 | unbekannt | exe
adfa7c39a9522c8c32f909d3c32a2e7ff18002273bb2b2ff5d38d5f039eba402  # Windows-Malware | R=39.0 | unbekannt | exe
0f6fa3937deb595df983e9c6ccc0066b83a4527106fb56bd3945ed5f0ab373f2  # Windows-Malware | R=39.0 | unbekannt | exe
aec828c1ed6c063faaa5e80c6b4ea513b7a17038c1d3fe1decbfb11f99b21844  # Windows-Malware | R=39.0 | unbekannt | exe
44948aa17db81c1ea45fdd53929b84709172523f1fbb5213521792a14ab63aa1  # Windows-Malware | R=39.0 | unbekannt | exe
6740a16839d210deee861bfa277f6306a11ef5a9115a817596edfdbbad9b8c56  # Windows-Malware | R=39.0 | unbekannt | exe
80bc181304238cf8227f86e6716125cff6fdda2e6ce81a5fcf187fd53649bf8c  # Windows-Malware | R=39.0 | unbekannt | exe
5047ed663f9240d9d94a6081e7262c1e216f349a95cc5bf8077311e743411d1e  # Windows-Malware | R=39.0 | unbekannt | exe
ed130857ba25e43fcb202c451be951a44d173ee9bb850c18c00422d3078f625a  # Windows-Malware | R=39.0 | unbekannt | exe
152ea80f22214f914347b5db3518f3a0b27f38e288b06987ec46f2daf5bfc972  # Windows-Malware | R=39.0 | unbekannt | exe
723cc398d065a765b9c94b51ef591f09241179a441a3d03792c643ab45b083ba  # Windows-Malware | R=39.0 | unbekannt | exe
4bd340d53ee0d8a4358d5a55163a4a33ffe9e0970db013aafe225cc8bfca244f  # Windows-Malware | R=39.0 | unbekannt | exe
fe4933fda930a567852dc426edc4e91cdf28678b89f83a55d71be2445101d138  # Windows-Malware | R=39.0 | unbekannt | exe
1abc41fd12905c3fdca763a8bf0b692904a8971fa6b20fb2c6e1b19f67131d79  # Windows-Malware | R=39.0 | unbekannt | exe
1342b55b761a1a50fa3163f8fdbb42dbb39c07633276c6293fae13558040e798  # Windows-Malware | R=39.0 | unbekannt | exe
ef3b3ac21b166f30e88a6b1e38433654d3b6b5138f0bbaaaa1e2d6623efd44a5  # Windows-Malware | R=39.0 | unbekannt | exe
0327d48590d68060a0cc30c7b4c68c107912c5ec1b219214ea8df7015eb61833  # Windows-Malware | R=39.0 | unbekannt | exe
eb7f59fd9a8a13a1e7ab4020dc00e61f6f77bec5a3aa116b8cc26329692efdd5  # Windows-Malware | R=39.0 | unbekannt | exe
16c6b1db36ca3980217fbd6f74b996e55951acbf58e6f8bc4bc3cd27358fe328  # Windows-Malware | R=39.0 | unbekannt | exe
21559a8f31864268dd078e54d889e0f29a828ce708eb62865cfcdceb74e9b7a4  # Windows-Malware | R=39.0 | unbekannt | exe
23e0a3ef347013fcaed4524335d2b894bf76e94f65bcdb740b9948fcf4732f97  # Windows-Malware | R=39.0 | unbekannt | exe
29b3732a91617c9d5b5c164897f2eebc48eb659a7d2683ad531d88545ff2b286  # Windows-Malware | R=39.0 | unbekannt | exe
51873268da425527526f799c099cca92e901ef1c30df5e6c9060218d2cee51ce  # Windows-Malware | R=39.0 | unbekannt | exe
5380554fc5ed8237607d90aa250ec740512efcadb21eafebecb990b35015f9b7  # Windows-Malware | R=39.0 | unbekannt | exe
78520144fce073f8fe8ed692830b1d1feadccdd0b64f83d4a4a4b47097ae3e60  # Windows-Malware | R=39.0 | unbekannt | exe
9d5bb0ae595c158623b7598af5978151f768375c7dba6ae1a324dddbe78f6ec0  # Windows-Malware | R=39.0 | unbekannt | exe
b9fa817704571679b8323e1c951cce20af304a2b0b211601846c88dde1211024  # Windows-Malware | R=39.0 | unbekannt | exe
ca09c2bfd4fc188a7bd28e5e165bf2ef17d90638b5352a9ac63a0dc0a8a81e84  # Windows-Malware | R=39.0 | unbekannt | exe
d72b80c9712c7b63a052c40526e24756d3ee1ed47be2b02771787130dfb77e0f  # Windows-Malware | R=39.0 | unbekannt | exe
9e24803ef467e3c0e454d592fa73e0a318cf4567dc1c4e656db3c7083af0092e  # Windows-Malware | R=39.0 | unbekannt | exe
df94140f88c7fc4165c549886d1830b29f3d50c25a62e8ba51fb8e54a70735da  # Windows-Malware | R=39.0 | unbekannt | exe
1b6265aec87b9cf3b7b2868e4a4d992ed0791296ec70da379865828d2adfda40  # Windows-Malware | R=39.0 | unbekannt | exe
700e7e919dee8e3a8322aa7840b6fee6eb4029a6367590630db880cb7e2b5e1c  # Windows-Malware | R=39.0 | unbekannt | exe
3811bd74228155830a94bf325aca7ddef46b3071a0bd0d60bae3ba248b710568  # Windows-Malware | R=39.0 | unbekannt | exe
bc878d6fd3766bba13c022ab2ecdad38d8d1d661a48618fd53c790e7dfe09b51  # Windows-Malware | R=39.0 | unbekannt | exe
39ec3df5cfba359613b07c807099be55dc4171237e7b45232ba83d48713864cf  # Windows-Malware | R=39.0 | unbekannt | exe
01c56358c31d4cb4fdcf064cfe4d8c3ee0359311e2b0054b089352336a3ceaf9  # Windows-Malware | R=39.0 | unbekannt | exe
d5c62b0054e66cabbfaf1212862a363b1500ff2a95fc8a643325edf34060ea9a  # Windows-Malware | R=39.0 | unbekannt | exe
1274b9ccf4b209f8233bb4192cded3d1ce2e3736d03aafb74925a21c623085db  # Windows-Malware | R=39.0 | unbekannt | exe
1588dccc89785caffa7ea22e10999dfd55c6d8ab4eaa9547ddc1e1c2085d1487  # Windows-Malware | R=39.0 | unbekannt | exe
c5ede993d51ff82fad85df3626a6061956a849af568f34afcdf765eade4a8d4f  # Windows-Malware | R=39.0 | unbekannt | exe
3c7292533cc12f15f589046596e39e47fed8e39be9c494c708b62a33b8556463  # Windows-Malware | R=39.0 | unbekannt | exe
66a58ea0f348844a3b68e51d2348e1a78e115e24654ac59fe77f6eb50577a879  # Windows-Malware | R=39.0 | unbekannt | exe
6cea05f724f1a108cad288316f7141e24e749fa4cb0cf2f54f086b566f68d722  # Windows-Malware | R=39.0 | unbekannt | exe
ec94ffdc1ba24e09f9930166fc9e4cbcc0ac23b997768fdad8286f1abf52da5e  # Windows-Malware | R=39.0 | unbekannt | exe
ea9c34a7c35cfbaa127f7c26341ebab7c29965f9eaa5e979b451a78825c56a0f  # Windows-Malware | R=39.0 | unbekannt | exe
